,text,sentiment
0,"


ariana grande and michelle rodriguez

please follow me
i love you

  USERID USERID  USERID USERID  USERID USERID 




95  USERID ",0
1,"

calum hood from 5sos
calum5sos
pls make me so fucking happy
and follow me  USERID USERID 
you mean sm to me



x59  USERID ",0
2,"

hello harry if you followed me you would make the happiest girl in the  USERID i love you


harrystyles 
x102  USERID ",0
3,"

hello harry if you followed me you would make the happiest girl in the  USERID i love you


harrystyles 
x2  USERID ",0
4,"

hey luke a follow from you would make me so damn happy ilysm

luke5sos 
607
5secondsofsummer  USERID  USERID USERID  USERID ",0
5,"

hey luke a follow from you would make me so damn happy ilysm

luke5sos 
628
5secondsofsummer  USERID  USERID USERID  USERID ",0
6,"

hey luke a follow from you would make me so damn happy ilysm

luke5sos 
637
5secondsofsummer  USERID  USERID USERID  USERID ",0
7,"

okay i see u been modeling and shit lol  USERID ",2
8,"
  USERID i love you so fucking much 

my dream is to follow me

is my dreamalexhoyer100k  USERID USERID  USERID  USERID ",0
9,"
 hello  USERID USERID 

 can you please follow me 

  USERID  USERID ",0
10,"
calum hood from  USERID USERID do turtelsuse to communicate
a shellephone
would you mind following me
love you
calum5sos
x 5942  USERID ",0
12,"
hello 
luke hemmings 
from 5sos
follow me please
it would mean 
so much to me
i love you 
more than anything
luke5sos

x22319  USERID ",0
11,"
hello 
luke hemmings 
from 5sos
follow me please
it would mean 
so much to me
i love you 
more than anything
luke5sos

x272  USERID ",0
13,"
hello cam 
a follow would mean a lot to me so could u pls follow me ily

camerondallas 
camsradiostationoniheart 12  USERID ",0
14,"
hello cam 
a follow would mean a lot to me so could u pls follow me ily

camerondallas 
camsradiostationoniheart 4  USERID ",0
15,"
i miss how we arent really close anymore but youre a little shit  USERID ",2
16,"
mom and daughter fingering pussy URL  USERID ",2
17,"
ஐ°ෆ hello  USERID USERID bunches of oats
hope your day is full of
•love and smiles
 follow me for hugs
ilysmෆ°ஐ499  USERID ",0
18," USERID 

acting slutty on camera is belladollys favorite hobby
lose yourself in my world of fantasy ecsta URL  USERID ",0
19," USERID 

c chellyeahh no ig URL  USERID ",1
