text,sentiment
"

hey luke a follow from you would make me so damn happy ilysm

luke5sos 
607
5secondsofsummer  USERID  USERID USERID  USERID ",0
"

hey luke a follow from you would make me so damn happy ilysm

luke5sos 
628
5secondsofsummer  USERID  USERID USERID  USERID ",0
"

hey luke a follow from you would make me so damn happy ilysm

luke5sos 
637
5secondsofsummer  USERID  USERID USERID  USERID ",0
"

okay i see u been modeling and shit lol  USERID ",2
"
i miss how we arent really close anymore but youre a little shit  USERID ",2
"
mom and daughter fingering pussy URL  USERID ",2
USERID  USERID  USERID  USERID  USERID  USERID lascivious teen gets her tight pussy fucked doggy style URL  USERID ,0
USERID  USERID  USERID  USERID  USERID asian geisha giving blowjob to tied up guy URL  USERID ,0
USERID  USERID  USERID  USERID USERID reblog 4 ℱℴℓℓℴωs thebestblowjobgifs the best blowjob gifs elizabeth bentley… URL  USERID retweet 4more  USERID ,0
USERID  USERID  USERID USERID where the fuck is alison  USERID ,1
USERID  USERID  USERID ass  USERID USERID URL mommy with a fat oiled up ass sucks cock URL  USERID ,0
USERID  USERID  USERID christianity is narrow 5 bil non christians go to hell fundamentalist antiscience amp women amp brutal crusades  USERID ,1
USERID  USERID USERID  USERID  USERID USERID  USERID USERID  USERID USERID  USERID we work too damn hard for this just to give it up now  USERID ,1
USERID  USERID USERID  USERID USERID  USERID USERID with 10 million dollars you can buy a new pussy  USERID ,0
USERID  USERID USERID bitches think its cute and okay when they nigga call them a bitch  USERID thats one thing i cant and wont tolerate  USERID ,1
USERID  USERID USERID bwahahaha well they might never hear it again so what the fuck  USERID ,1
USERID  USERID USERID dick is to big  USERID ,0
" USERID  USERID USERID gimme the goat  USERID USERID which wld you rather screw for 1bn

a 6month old baby a rotten corpse or a goat  USERID ",0
USERID  USERID USERID it aint shit  USERID to call a hit  USERID  USERID ,1
USERID  USERID USERID this bitch so aggy daw ”  USERID ,0
USERID  USERID USERID you  USERID USERID in russia talking shit motherfucker no other subject two months talking about russia  USERID USERID fuck fuck you russia  USERID ,1
USERID  USERID USERID youre so important and somebody out there loves you more than youll ever know justin wants to fuck you btw  USERID ,0
USERID  USERID USERID “chanearia they can atleast build a popeyes in naples like damn is that too much to ask for ”  USERID ,0
USERID  USERID USERID “nochill2k15 never had a chance  USERID URL bitch you could neva i shoot herass  USERID USERID  USERID ,1
USERID  USERID big booty ride black cock  USERID URL  USERID  USERID  USERID  USERID ,0
USERID  USERID damn nigga you act like you dont know niggas no more where you been  USERID  USERID ,1
USERID  USERID day6 its not always funny its windy like hell URL  USERID ,1
USERID  USERID honestly didnt look very good at all on paper but i thought it ended up being a damn good show  USERID USERID some awesome moments  USERID ,0
USERID  USERID i am a shit  USERID ,1
USERID  USERID i forgot to text you back  USERID my bad but you cool cute and always talking shit lol  USERID ,0
USERID  USERID i have hw but screw that  USERID ,1
USERID  USERID i miss you and we be doing some crazy shit  USERID  USERID ,1
USERID  USERID i remember you from that summer camp shit  USERID ,1
USERID  USERID i think i see you around and shit but you  USERID  USERID ,0
USERID  USERID rahquisebowen aa wack amp expensive as hell anyways lol  USERID ,1
USERID  USERID rt  USERID USERID stud gave me some pussy so good she told me to call her daddy and i did and she kegeled hard as fuck”  USERID ,0
USERID  USERID word of the day god damn motherfucking shitty fucking shit fuckers URL  USERID ,0
USERID  USERID you a bitch but you knew dat  USERID ,0
USERID  USERID you funny  USERID cool  USERID can dress  USERID got shoe game be talking shit to me i fwu tho  USERID ,0
" USERID USERID 
he has a lil dick  USERID ",1
" USERID USERID 
listen fuck face the patriarchy told men to man up amp the patriarchy still thinks that way amp u still think that way  USERID ",1
" USERID USERID 
lol  USERID USERID i just want people to come laugh and like my shit then leave me alone

d  USERID ",1
" USERID USERID 
mobd deep u poopood tang wu cartoond masks plies goons except on my ranch monkeys dished holdup screw tacklebox arsenal  USERID ",0
" USERID USERID 
nialler
this is a shit moment for me  USERID follow me please  USERID ",1
" USERID USERID 
stop being a lazy bitch and actually do it  USERID ",0
" USERID USERID  USERID 
twitter  USERID because its more trouble than its worth to say cunt on facebook when auntie pat follows you  USERID ",1
USERID USERID  USERID  USERID USERID has the best damn dropkick in the business  USERID USERID  USERID USERID  USERID ,0
USERID USERID  USERID  USERID USERID i just shit my pants  USERID USERID  USERID ,1
USERID USERID  USERID  USERID USERID yea folks niggas gone be like damn where folks cop dat shit at  USERID  USERID ,0
USERID USERID  USERID  USERID wat bitch  USERID  USERID ,0
" USERID USERID  USERID USERID 
starting to look like the idea is to let the shit hit the fan so then the impetus for change will come from below  USERID ",1
" USERID USERID  USERID USERID 
that bitch was fighting for that ugly idiot n that asswhole started it first  USERID ",0
USERID USERID  USERID USERID  USERID  USERID  USERID how many bitches do yo nigga fuck with besides you  USERID  USERID ask him funniest question i seen all day  USERID  USERID ,0
