,text,curseword,curseWordCatg,date,sentiment
1385,"

  USERID USERID do i love head  hell yeah  USERID ",hell,2,Oct2011,0
15423,    ·  ·      oh excuse me  just lookin for a fuck to give  dkm  USERID ,fuck,7,Oct2011,2
18888,   USERID  USERID USERID lmao  USERID  USERID  USERID USERID them hoes be like there he go  who  smooky badazz   USERID ,hoe,1,Oct2011,0
357,  USERID  USERID  USERID USERID kicked the fuck up on  USERID USERID  USERID ,fuck,7,Oct2011,1
24145,  USERID  USERID  USERID USERID really makes me sad how bad archbishop is this year fuck all the boys that left us foreal  USERID ,fuck,7,Oct2011,1
13772,  USERID  USERID USERID  USERID  USERID USERID let the bitches tell it every nigga aint shit  USERID ,bitch,1,Oct2011,1
30427,  USERID  USERID USERID  USERID USERID irk my damn life  USERID ,damn,2,Oct2011,1
9490,  USERID  USERID USERID  USERID USERID lovee ya quotes lol tell these hoes  lt3  USERID ,hoe,1,Oct2011,0
35282,  USERID  USERID USERID ajak irpan dong eh  USERID  USERID rame nii adminnya  USERID USERID  USERID  USERID lu yg baj URL  USERID ,dong,1,Oct2011,0
37863,  USERID  USERID USERID all girls got that 1 guy shell bebeen a hoe for  USERID  USERID ,hoe,1,Oct2011,0
29252,  USERID  USERID USERID cant turn a hoe into a housewife  USERID ,hoe,1,Oct2011,1
18877,  USERID  USERID USERID fuck autospell auto correct grammar check and all that bullshit if i typed it then i cont URL  USERID ,shit,7,Oct2011,1
571,  USERID  USERID USERID fuck being sick  USERID ,fuck,7,Oct2011,1
34537,  USERID  USERID USERID fuck man  USERID ,fuck,7,Oct2011,1
28689,  USERID  USERID USERID fuck this wack ass baseball shit i need my basketball  USERID ,ass,3,Oct2011,1
30198,  USERID  USERID USERID holla if you got me and fuck you if you had me  USERID ,fuck,7,Oct2011,1
9857,  USERID  USERID USERID i have just been informed eat more oreos youre sexy as fuck okay  USERID ,fuck,7,Oct2011,1
24885,  USERID  USERID USERID if u think ima sweat u u must be fucking retarded  USERID ,retard,4,Oct2011,1
7124,  USERID  USERID USERID kangen kangen juga   USERID  USERID USERID kangentetitotuitarumpermatasarighe URL  USERID ,tit,1,Oct2011,0
3866,  USERID  USERID USERID mau dong dikasarin ʃ⌣ƪ  USERID  USERID USERID cewek gak suka di kasarin  USERID USERID  USERID  USERID ,dong,1,Oct2011,0
34807,  USERID  USERID USERID my parents said i should watch less movies and read more  USERID USERID so i turned on the subtitles  USERID ,tit,1,Oct2011,0
18520,  USERID  USERID USERID niggas that argue with bitches got just as much bitch in them as the bitches they arguing with  USERID ,bitch,1,Oct2011,1
9624,  USERID  USERID USERID ok some1 said today is supposed to be sad day its good to pay tribute n all but life fucking goes on chale  USERID ,fuck,7,Oct2011,1
2903,  USERID  USERID USERID she meant world lol  USERID  USERID USERID  USERID USERID lt baddest bitch in the wolrd  USERID  USERID ,bitch,1,Oct2011,0
38628,  USERID  USERID USERID shit just got real  USERID  USERID USERID phone on 10 fuck  USERID ,shit,7,Oct2011,0
31913,  USERID  USERID USERID so damn much   USERID  USERID USERID ι мιιss yσυ  USERID  USERID ,damn,2,Oct2011,0
13347,  USERID  USERID USERID so to my bitches lt3 i miss ya  USERID USERID  USERID USERID  USERID USERID  USERID USERID lt3  USERID ,bitch,1,Oct2011,0
19044,  USERID  USERID USERID so why the fuck are people repoing my where abouts oo  USERID ,fuck,7,Oct2011,1
12655,  USERID  USERID USERID super hq pix the boys celebrating shindongs bihday lt3 URL  USERID ,dong,1,Oct2011,0
28520,  USERID  USERID USERID the shit ive been through has definitely changed me for the better  USERID ,shit,7,Oct2011,0
18746,  USERID  USERID USERID this fever could suck my dick  USERID ,dick,1,Oct2011,1
2693,  USERID  USERID USERID xmasfossie lol im just sayinhave a gd nite  USERID im tired as shit lolbout to lay it the fuk down  USERID ,shit,7,Oct2011,0
28685,  USERID  USERID USERID «1nationovagod im in the mood to sno me a line  USERID i got you but you gotta sno it off my dick thoo broskii  USERID ,dick,1,Oct2011,0
28091,  USERID USERID   USERID USERID adorei a foto  arrazou  foi meio gay isso  k  USERID ,gay,1,Oct2011,0
11007,  USERID USERID  USERID  USERID USERID desnudo total URL  es precioso  tramposos clickeé buscando a esa cinthia whatever  USERID ,tramp,1,Oct2011,0
14973,  USERID USERID  USERID aprovechar internet para enlazar proyectos aislados la institución no lo hace la gente sí  USERID ,tit,1,Oct2011,0
29350,  USERID USERID  USERID chocolate legs damn hubby where u at  USERID ,damn,2,Oct2011,0
25318,  USERID USERID  i could care less about fucking you or getting pussy i just want your love lt3 thats how guys should be  USERID  USERID ,pussy,1,Oct2011,0
1012,  USERID USERID  moneyclothescarshoes  USERID  USERID  USERID  USERID  URL  USERID ,hoe,1,Oct2011,0
34891,  USERID USERID a fucking bum arod  USERID ,fuck,7,Oct2011,1
7695,  USERID USERID acc aku ini terserah dong mau ngetweet apa pun mau nge sebanyak apa pun ga sukaunfolljngnbnykbct  USERID ,dong,1,Oct2011,0
5103,  USERID USERID bisa dong ya allah  URL  USERID ,dong,1,Oct2011,0
17737,  USERID USERID bitch niggas let they emotions get the best of them  USERID ,bitch,1,Oct2011,1
36619,  USERID USERID btches really weak though  USERID ,b*tch,1,Oct2011,1
27591,  USERID USERID btw go to wal ma or some shit whos on the front cover of every magazine bieber sorry only him gURL   USERID ,shit,7,Oct2011,1
28399,  USERID USERID damn mad packed  USERID  USERID USERID  USERID  USERID  USERID URL  USERID ,damn,2,Oct2011,0
38372,  USERID USERID eat no pussy  USERID  USERID ,pussy,1,Oct2011,1
10804,  USERID USERID ellen degeneres is my shit lt3  USERID ,shit,7,Oct2011,0
29595,  USERID USERID free porn porno video mobile videos sex pussy tits  hairy japanese girl creampie fuck URL  USERID ,tit,1,Oct2011,0
7459,  USERID USERID free porn porno video mobile videos sex pussy tits  pov blowjob with cumshot URL  USERID ,cum,1,Oct2011,0
21204,  USERID USERID i wish my followers would stop tweeting about the conce cause im mad as shit im not there  USERID ,shit,7,Oct2011,1
14709,  USERID USERID is heading to boston saturday damn you boston you be stealin my estaban  USERID ,damn,2,Oct2011,1
37527,  USERID USERID karma is a bitch  USERID ,bitch,1,Oct2011,1
2213,  USERID USERID katanya orang yang sering sakit dada itu orang yang selalu mendam perasaan eike banget dong yahˇ̩ˇ̩ƪ  USERID ,dong,1,Oct2011,0
